"order_date","customers","sales","stores","Item_Quantity","Discount_Amount","Coupon_Amount"
2010-10-01,14229,2370990.04000004,89,21960,1175.96999999983,6537.64999999978
2010-10-02,15343,2521795.40000015,86,23794,1273.74999999977,7132.4499999997
2010-10-03,15503,2775968.14000033,89,23898,1292.44999999978,7128.94999999972
2010-10-04,16611,2769860.12000026,92,25567,1373.58499999975,7635.19999999959
2010-10-05,15259,2598775.42000018,91,23643,1275.73499999978,7040.89999999971
2010-10-06,15239,2522528.15000013,92,23425,1268.95499999979,6960.14999999973
2010-10-07,14764,2663276.07000016,91,22814,1225.14499999981,6834.59999999975
2010-10-08,14921,2449532.00000008,89,23267,1251.6499999998,6993.89999999973
2010-10-09,15408,2517640.94000009,92,23697,1276.41999999979,7080.8999999997
2010-10-10,15907,2590816.43000018,87,24608,1325.30999999977,7379.24999999968
2010-10-11,16397,2774422.2300002,93,25339,1350.68999999975,7554.94999999961
2010-10-12,15831,2579447.58000018,91,24539,1319.95999999977,7308.94999999965
2010-10-13,15586,2685279.38000016,87,24344,1311.67499999977,7239.44999999968
2010-10-14,14964,2555493.86000015,92,23394,1269.5249999998,7014.44999999973
